id;date_of_birth;date_of_death;places;relatives
1;2021-05-25;2021-05-27;1;1
2;2021-05-25;2021-05-27;2;2
3;2021-05-25;2021-05-27;3;3
4;2021-05-25;2021-05-27;4;4
5;2021-05-25;2021-05-27;5;5
6;2021-05-25;2021-05-27;6;6
7;2021-05-25;2021-05-27;7;7
8;2021-05-25;2021-05-27;8;8
9;2021-05-25;2021-05-27;9;9
10;2021-05-25;2021-05-27;10;10
11;2021-05-25;2021-05-27;11;11
12;2021-05-25;2021-05-27;12;12
13;2021-05-25;2021-05-27;13;13
14;2021-05-25;2021-05-27;14;14
15;2021-05-25;2021-05-27;15;15
16;2021-05-25;2021-05-27;16;16
17;2021-05-25;2021-05-27;17;17
18;2021-05-25;2021-05-27;18;18
19;2021-05-25;2021-05-27;19;19
20;2021-05-25;2021-05-27;20;20
21;2021-05-25;2021-05-27;21;21
22;2021-05-25;2021-05-27;22;22
23;2021-05-25;2021-05-27;23;23
24;2021-05-25;2021-05-27;24;24
25;2021-05-25;2021-05-27;25;25
26;2021-05-25;2021-05-27;26;26
27;2021-05-25;2021-05-27;27;27
28;2021-05-25;2021-05-27;28;28
29;2021-05-25;2021-05-27;29;29
30;2021-05-25;2021-05-27;30;30
31;2021-05-25;2021-05-27;31;31
32;2021-05-25;2021-05-27;32;32
33;2021-05-25;2021-05-27;33;33
34;2021-05-25;2021-05-27;34;34
35;2021-05-25;2021-05-27;35;35
