id;place_of_birth;place_of_death
1;birthPlace1;deathPlace1
2;birthPlace2;deathPlace2
3;birthPlace3;deathPlace3
4;birthPlace4;deathPlace4
5;birthPlace5;deathPlace5
6;birthPlace6;deathPlace6
7;birthPlace7;deathPlace7
8;birthPlace8;deathPlace8
9;birthPlace9;deathPlace9
10;birthPlace10;deathPlace10
11;birthPlace11;deathPlace11
12;birthPlace12;deathPlace12
13;birthPlace13;deathPlace13
14;birthPlace14;deathPlace14
15;birthPlace15;deathPlace15
16;birthPlace16;deathPlace16
17;birthPlace17;deathPlace17
18;birthPlace18;deathPlace18
19;birthPlace19;deathPlace19
20;birthPlace20;deathPlace20
21;birthPlace21;deathPlace21
22;birthPlace22;deathPlace22
23;birthPlace23;deathPlace23
24;birthPlace24;deathPlace24
25;birthPlace25;deathPlace25
26;birthPlace26;deathPlace26
27;birthPlace27;deathPlace27
28;birthPlace28;deathPlace28
29;birthPlace29;deathPlace29
30;birthPlace30;deathPlace30
31;birthPlace31;deathPlace31
32;birthPlace32;deathPlace32
33;birthPlace33;deathPlace33
34;birthPlace34;deathPlace34
35;birthPlace35;deathPlace35
